gene_name,entrezgene_id,padj,Log2FC,absLogFC
METTL21A,151194,0.001366588,0.132279462,0.132279462
SPATA33,124045,0.020436061,-0.132320721,0.132320721
ARL8A,127829,0.003637538,0.132322456,0.132322456
MAN2C1,4123,0.002940705,0.132342224,0.132342224
HDAC2-AS2,101927768,0.126749777,0.132376861,0.132376861
EMC9,51016,0.101499638,-0.132525446,0.132525446
PNPLA2,57104,0.035120768,-0.13254817,0.13254817
XIAP,331,0.000378872,-0.132595024,0.132595024
CDK5RAP1,51654,8.54e-05,-0.132596284,0.132596284
TRPT1,83707,0.007149886,-0.13265018,0.13265018
TCL1A,8115,0.641677734,-0.132768265,0.132768265
DNAI4,79819,0.039143395,-0.132812037,0.132812037
FLVCR1,28982,0.020569362,0.13281862,0.13281862
CSNK1G2-AS1,255193,0.265500721,-0.132835407,0.132835407
SMUG1,23583,0.001979387,0.132983097,0.132983097
SH3TC1,54436,0.052595699,0.132995362,0.132995362
ENGASE,64772,0.016932502,0.133005791,0.133005791
PTS,5805,0.006634643,-0.133062915,0.133062915
PDXDC1,23042,0.013268985,-0.133065178,0.133065178
ANKK1,255239,0.274030158,0.133072057,0.133072057
LINC02145,401172,0.284072677,-0.133089936,0.133089936
IFITM10,402778,0.386215063,0.133176298,0.133176298
ART1,417,0.583559397,0.133245976,0.133245976
PIGZ,80235,0.174950439,0.133280453,0.133280453
CNTN2,6900,0.190817737,0.133383091,0.133383091
GPR22,2845,0.012997075,0.133419385,0.133419385
NPIPB5,100132247,0.244903188,-0.133419808,0.133419808
CHD2,1106,6.88e-06,0.133590516,0.133590516
LTO1,220064,6.71e-06,-0.133594117,0.133594117
ZFP36L2,678,0.101989542,-0.133594405,0.133594405
NDEL1,81565,0.010086053,0.133604354,0.133604354
KIAA1614-AS1,103344928,0.199527874,-0.133615439,0.133615439
GTPBP1,9567,0.004492281,-0.133622838,0.133622838
RAB3GAP2,25782,1.94e-05,0.133651799,0.133651799
KIF27,55582,0.003590999,-0.133727097,0.133727097
PIGB,9488,0.002157002,0.13374343,0.13374343
LRRC37A2,474170,0.160112249,0.133918524,0.133918524
FEM1A,55527,0.023366037,0.133979198,0.133979198
CNNM4,26504,0.006246665,0.133986854,0.133986854
CIAPIN1,57019,0.009616412,-0.134033576,0.134033576
NMNAT2,23057,0.474385707,0.134086321,0.134086321
CPXM2,119587,0.328752075,-0.134215075,0.134215075
GEM,2669,0.383469954,0.134269009,0.134269009
SKIV2L,6499,0.000460045,0.134359828,0.134359828
PTGES,9536,0.574052461,-0.134371773,0.134371773
MYO19,80179,0.000196476,-0.134439173,0.134439173
DHX15,1665,0.000536652,0.134442267,0.134442267
NPTN,27020,0.000187996,-0.134530608,0.134530608
SUSD6,9766,0.003313471,0.134558813,0.134558813
PPP6C,5537,0.000470786,-0.1346505,0.1346505
CBWD1,55871,0.064854528,-0.134733224,0.134733224
MIR30E,407034,0.212699973,0.134735483,0.134735483
CRYZL2P,730102,0.136962836,-0.134760315,0.134760315
DDX27,55661,0.000250775,0.134760507,0.134760507
MIR1972-2,100422922,0.197233843,-0.134862773,0.134862773
PPIL1,51645,0.019662897,-0.134932781,0.134932781
STRN4,29888,0.00017731,0.135018358,0.135018358
TGIF2,60436,0.005485263,-0.135029243,0.135029243
CHMP7,91782,0.001723067,0.135039889,0.135039889
RAB4A,5867,0.001492104,0.135145254,0.135145254
PLPPR2,64748,0.031616562,0.135191746,0.135191746
LIN7C,55327,0.004597566,-0.135198896,0.135198896
ATP7B,540,0.127692198,-0.135202295,0.135202295
COMMD4,54939,0.000303661,-0.135255747,0.135255747
PKD1L3,342372,0.113288546,0.135274649,0.135274649
TIMM22,29928,0.000478862,-0.13530039,0.13530039
MIR548AT,100847030,0.291042838,-0.13532351,0.13532351
CRPPA,729920,0.161917496,-0.135333122,0.135333122
SGSM3,27352,0.036139559,0.135358583,0.135358583
TWNK,56652,0.027682584,-0.135369978,0.135369978
SPEF1,25876,0.273335807,-0.135421483,0.135421483
IGSF8,93185,0.008421488,-0.135502888,0.135502888
ZNF317,57693,1.72e-09,0.135734541,0.135734541
COP1,64326,4.41e-06,0.135738739,0.135738739
AQR,9716,1.39e-05,0.13579577,0.13579577
LINC00511,400619,0.50953311,0.135827583,0.135827583
ARSK,153642,0.068020321,0.135853999,0.135853999
ZBTB34,403341,0.000629915,-0.135929752,0.135929752
DAW1,164781,0.620928917,-0.135987554,0.135987554
TMEM9B,56674,0.00229072,-0.135992742,0.135992742
SLC50A1,55974,0.017820864,0.136126219,0.136126219
FAAP20,199990,0.019407958,0.136265323,0.136265323
UPP1,7378,0.336088026,0.136322311,0.136322311
ZMYM5,9205,0.000412118,0.136360066,0.136360066
URB2,9816,0.057909362,0.136374966,0.136374966
ILK,3611,0.043770999,-0.136475558,0.136475558
NT5E,4907,0.239759914,-0.136496386,0.136496386
FAM126B,285172,0.005228888,-0.136733922,0.136733922
LYG1,129530,0.295070613,0.136737211,0.136737211
ERMAP,114625,0.00075431,0.136774107,0.136774107
SNORA70,124900426,0.191955712,-0.136792528,0.136792528
CBWD2,150472,0.000284593,0.136889876,0.136889876
COPS9,150678,0.03424089,-0.136919998,0.136919998
MED4-AS1,100873965,0.218930676,0.136974297,0.136974297
RNF216-IT1,100874342,0.146045782,-0.136991861,0.136991861
ACBD4,79777,0.063428594,-0.137003494,0.137003494
OMD,4958,0.252103008,-0.137042614,0.137042614
KRT10,3858,0.016271927,-0.137078084,0.137078084
CHMP1B,57132,0.006332124,0.137083232,0.137083232
UGDH,7358,0.104443988,-0.137168551,0.137168551
LUC7L2,51631,0.002890694,0.137172937,0.137172937
MBD3,53615,0.008011622,0.137181345,0.137181345
MIR933,100126350,0.158913358,0.137290536,0.137290536
ARL5A,26225,0.000604889,0.137387074,0.137387074
CUEDC2,79004,0.003302473,0.137494901,0.137494901
