gene_name,entrezgene_id,padj,Diff
ALDH16A1,126133,2.37e-14,0.99649096
ALDH1A2,8854,0.001809775,2.552274111
ALDH1A3,220,1.13e-18,1.207955223
ALDH1B1,219,2.38e-48,-1.341993327
ALDH1L1,10840,1.87e-05,-2.105567894
ALDH1L1-AS1,100874204,2.46e-33,-1.021417418
ALDH1L2,160428,3e-05,2.418226983
ALDH2,217,8.75e-39,-1.042142624
ALDH3A1,218,7.89e-29,-1.342312342
ALDH3A2,224,1.57e-09,0.955215578
ALDH3B1,221,3.19e-51,-2.654385607
ALDH3B2,222,1.17e-42,1.893297497
ALDH5A1,7915,2.71e-07,-1.661112211
ALDH6A1,4329,0.030712083,-0.823717226
ALDH8A1,64577,0.02991907,-1.282726911
ALDOA,226,5.16e-64,-2.853448011
ALDOB,229,1.84e-15,1.348587135
ALDOC,230,2.22e-23,-2.404766507
ALG1,56052,2.83e-13,-1.070960638
ALG10,84920,0.028074154,0.080569718
ALG10B,144245,0.015181793,0.162305436
ALG11,440138,1.06e-06,0.602116696
ALG12,79087,2.65e-11,0.955736659
ALG13,79868,0.002728603,0.429318548
ALG14,199857,1.63e-21,-1.548218877
ALG1L2,644974,1.62e-26,-0.578119902
ALG2,85365,0.00581566,-0.68029268
ALG6,29929,0.001126524,-2.064705564
ALG8,79053,4.64e-05,-0.229644614
ALK,238,1.59e-37,-2.212516934
ALKBH1,8846,6.81e-24,0.650061348
ALKBH2,121642,9.41e-14,0.697148732
ALKBH3,221120,0.017001646,2.268485794
ALKBH3-AS1,100507300,5.83e-46,-2.079546541
ALKBH4,54784,0.000301177,-0.635097269
ALKBH5,54890,1.59e-19,-0.99514001
ALKBH7,84266,0.026669101,0.324508421
ALKBH8,91801,9.2e-10,-0.530992536
ALMS1,7840,7.72e-11,-2.515662076
ALOX12,239,1.27e-07,1.400062636
ALOX12-AS1,100506713,1.47e-14,0.960409567
ALOX12P2,245,1.53e-18,-1.012047654
ALOX15,246,8.71e-10,0.539374558
ALOX5,240,2.9e-47,-2.105360422
ALOX5AP,241,7.75e-42,-2.235504157
ALPI,248,5.43e-21,-1.267521234
ALPK1,80216,9.46e-34,1.779813678
ALPK2,115701,1.1e-05,-3.007521541
ALPK3,57538,3.64e-34,-1.687711607
ALPL,249,7.54e-09,-1.746100552
ALX1,8092,6.1e-11,4.78556496
ALX3,257,1.7e-30,2.300109861
ALX4,60529,1.61e-13,2.008247517
ALYREF,10189,0.036630308,-0.639966015
AMACR,23600,0.008007349,-0.61373933
AMBN,258,1.04e-12,0.729331257
AMBP,259,1.26e-30,-1.364508118
AMDHD2,51005,5.24e-17,-0.744771153
AMELX,265,0.031914987,-0.41973513
AMELY,266,1.22e-06,-4.898258292
AMER1,139285,8.1e-10,0.625938574
AMER2,219287,1.03e-21,-1.437834191
AMER3,205147,1.81e-13,1.419863518
AMFR,267,2.18e-15,6.659489916
AMH,268,1.32e-08,1.126314371
AMIGO1,57463,8.89e-08,0.406469317
AMIGO2,347902,4.09e-16,1.061320706
AMMECR1L,83607,3.28e-16,0.756713844
AMN1,196394,1.98e-23,-3.397909712
AMOTL1,154810,2.93e-78,-2.402292569
AMOTL2,51421,0.002748388,2.719279392
AMPH,273,1.99e-08,-2.963276927
AMT,275,6.32e-36,1.676898064
AMTN,401138,0.000240778,-0.662168818
AMY2B,280,1.04e-07,-0.596371484
AMZ1,155185,0.001905232,-3.138670036
AMZ2,51321,1.61e-06,-0.522806687
ANAPC15,25906,8.04e-12,-0.346520261
ANAPC16,119504,5.25e-15,0.948064428
ANAPC5,51433,5.68e-07,0.376441465
ANAPC7,51434,3.29e-12,-0.501888937
ANG,283,2.36e-07,-1.220685254
ANGEL1,23357,5.55e-34,1.156735062
ANGPT1,284,0.000145919,-3.0355817
ANGPT2,285,3.57e-15,1.671198221
ANGPT4,51378,7.92e-45,-2.643579816
ANGPTL1,9068,3.94e-08,4.59267673
ANGPTL3,27329,0.045929427,-1.606784158
ANGPTL4,51129,6.48e-33,-1.598549363
ANGPTL5,253935,0.03488929,0.271056684
ANGPTL6,83854,5.49e-25,3.023158622
ANK1,286,2.09e-21,-2.005668258
ANK2,287,1.92e-10,-5.685883417
ANKEF1,63926,3.47e-10,0.493594409
ANKFN1,162282,2.06e-41,-2.475476044
ANKFY1,51479,7.42e-06,4.486873341
ANKHD1,54882,0.005051,-2.204764716
ANKLE1,126549,1.09e-15,2.373914001
ANKMY2,57037,1.04e-08,-0.938457073
ANKRD1,27063,4.29e-06,-1.873611458
ANKRD13B,124930,8.02e-13,-0.709583198
ANKRD13C,81573,0.046916157,-1.225415778
ANKRD13D,338692,3.48e-20,-0.910600003
ANKRD16,54522,9.59e-09,4.612959633
ANKRD18A,253650,6.07e-06,0.607208336
ANKRD18B,441459,1.75e-08,0.714793732
ANKRD18DP,348840,1.69e-19,1.340092772
ANKRD20A5P,440482,0.001084463,0.411567175
ANKRD22,118932,2.99e-05,-1.783024101
ANKRD23,200539,3.07e-34,-1.988866308
ANKRD24,170961,0.002505531,-1.904927655
ANKRD26P3,100101938,3.22e-05,-2.873568704
ANKRD27,84079,1.28e-32,-1.749101159
ANKRD28,23243,1.4e-14,-5.386365721
ANKRD29,147463,4.88e-12,-2.202691058
ANKRD30A,91074,0.005947605,-1.806871343
ANKRD30B,374860,1.79e-27,1.691835377
ANKRD31,256006,4.12e-31,0.891972971
ANKRD33,341405,0.001548117,2.890312649
ANKRD34B,340120,7.38e-29,2.405988284
ANKRD35,148741,1.18e-05,0.506169151
ANKRD36B,57730,0.000101164,-0.194326819
ANKRD39,51239,8.99e-14,0.824344639
ANKRD40,91369,9.42e-28,-1.239519991
ANKRD44,91526,3.2e-40,-3.00543202
ANKRD45,339416,5.19e-10,4.184769325
ANKRD49,54851,4.69e-12,0.68443378
ANKRD50,57182,9.19e-13,0.828347449
ANKRD53,79998,1.04e-13,-3.50676404
ANKRD54,129138,1.09e-09,-0.358900854
ANKRD60,140731,2.12e-11,-1.3752557
ANKRD61,100310846,1.51e-06,0.577259805
ANKRD63,100131244,0.001905693,0.358296766
ANKRD65,441869,1.1e-24,-1.153349303
ANKRD66,100287718,3.99e-33,-1.578390266
ANKRD7,56311,0.035788626,-0.915917987
ANKRD9,122416,4.26e-23,1.024566657
ANKS1A,23294,0.000938326,3.385841567
ANKS1B,56899,1.15e-23,7.815272683
ANKS3,124401,2.68e-09,2.960743733
ANKS4B,257629,3.72e-18,-1.541094494
ANKS6,203286,8.32e-58,-2.949384289
ANKUB1,389161,0.004464219,-1.818343927
ANKZF1,55139,1e-06,-0.433378295
ANO1,55107,2.34e-49,-1.839655797
ANO2,57101,8.95e-52,-3.235424031
ANO5,203859,9.8e-14,0.812148511
ANO7,50636,6.28e-20,-1.299109903
ANO8,57719,5.24e-09,-1.498438004
ANO9,338440,1.02e-17,1.440551218
ANP32A,8125,3.27e-44,2.897219818
ANP32D,23519,6.87e-13,-1.197250213
ANP32E,81611,0.00028603,-2.02554053
ANPEP,290,1.54e-28,-1.580902267
ANTXR1,84168,0.000351198,-2.303020342
ANTXR2,118429,2.9e-06,-2.906214386
ANTXRL,195977,1.63e-14,-0.829084929
ANXA1,301,1.54e-05,-3.103833278
ANXA10,11199,1.21e-09,-4.610073227
ANXA13,312,3.14e-13,-5.575756777
ANXA2,302,6.29e-12,-3.069103525
ANXA3,306,3.76e-10,0.702317438
ANXA4,307,4e-12,-4.598974286
ANXA6,309,1.25e-18,-1.225543314
ANXA9,8416,6.61e-43,1.79667709
AOAH,313,5.87e-41,-1.916153372
AOAH-IT1,100874264,3.37e-57,-1.417582441
AOC1,26,5.38e-24,-0.837895559
AOC2,314,5.02e-32,-0.853470379
AOC3,8639,5.02e-32,-0.853470379
AOC4P,90586,8.44e-11,-0.538506403
AOX1,316,6.92e-05,2.056375931
AP1AR,55435,1.5e-17,0.4683462
AP1B1P1,23782,4.47e-06,0.436043751
AP1G1,164,0.011119968,2.30946254
AP1G2,8906,1.18e-35,-1.657500202
AP1M1,8907,5.13e-23,-0.819100361
AP1S2,8905,7.11e-06,4.690680666
AP2A1,160,3.1e-15,0.898474467
AP2A2,161,1.09e-05,4.419002712
AP2B1,163,1.34e-10,5.447217622
AP2S1,1175,1.23e-09,0.867803817
AP3D1,8943,4.33e-26,1.237952412
AP3M1,26985,0.021645644,-0.55200981
AP3M2,10947,6.54e-20,-2.731960047
AP3S2,10239,7.81e-23,-2.771386998
AP4B1,10717,0.006162288,-0.318730866
AP4B1-AS1,100287722,2e-19,-1.560251475
AP4E1,23431,9.51e-55,-1.93361971
AP5B1,91056,3.67e-15,0.466659297
AP5M1,55745,0.000380351,-2.949013096
AP5Z1,9907,2.36e-09,-0.459815333
APBA2,321,2.44e-26,-2.072375114
APBA3,9546,8.53e-12,-0.387528365
APBB1,322,1.94e-86,2.743241727
APBB1IP,54518,4.84e-15,-4.45573318
APC2,10297,2.01e-14,1.406592329
APCDD1L,164284,5e-32,-1.635008434
APEH,327,2.02e-16,0.982613873
APELA,100506013,3.75e-06,-2.479597243
APEX1,328,1.21e-29,-1.261622087
APEX2,27301,7.87e-12,0.476823947
APH1B,83464,6.2e-22,1.154223211
API5,8539,5.68e-09,0.321178602
APLF,200558,4.82e-10,-0.846669828
APLN,8862,4.69e-31,-2.455531459
APLNR,187,5.54e-45,-1.937136286
APMAP,57136,1.05e-18,-0.73627433
APOA1,335,1.38e-31,-1.355839859
APOA1-AS,104326055,2.14e-40,-2.313577253
APOA2,336,1.54e-12,-0.814539379
APOA4,337,5.41e-26,-1.652686377
APOA5,116519,0.001271321,-1.771583969
APOB,338,0.000166605,-2.814655363
APOBEC1,339,3.15e-24,-1.487990918
APOBEC3A,200315,4.22e-13,-1.064699952
